Silver Crow in A Predicament~~|}AW/S18-001~~|}RR~~|}Yellow~~|}Schwarz Character~~|}0~~|}0~~|}1500~~|}1~~|}アバター (Avatar)~~|}None~~|}None~~|}Even if I lose... I shall lose soundly. I must not be a pawn for that person!~~|}[C] If this is in the Front Row Center Slot, this gains +1000 Power.  [S] BRAINSTORM [(1)] Reveal the top 4 cards of your Library and put them in the Waiting Room. For each Climax card revealed this way, choose 1 of your Characters. That Character gains +1 Soul for the turn.
Silver Crow in A Predicament~~|}AW/S18-001S~~|}SR~~|}Yellow~~|}Schwarz Character~~|}0~~|}0~~|}1500~~|}1~~|}アバター (Avatar)~~|}None~~|}None~~|}SECRET~~|}[C] If this is in the Front Row Center Slot, this gains +1000 Power.  [S] BRAINSTORM [(1)] Reveal the top 4 cards of your Library and put them in the Waiting Room. For each Climax card revealed this way, choose 1 of your Characters. That Character gains +1 Soul for the turn.
Kuroyukihime~~|}AW/S18-002~~|}RR~~|}Yellow~~|}Schwarz Character~~|}3~~|}2~~|}10000~~|}2~~|}生徒会 (Student Council)~~|}アバター (Avatar)~~|}Soul~~|}I must give you a reward~~|}[A] When this is placed from hand to the Stage or via CHANGE to the Stage, you may put the top card of your Clock in the Waiting Room.  [A] [Put all cards, excluding the bottom-most card, from your Stock in Waiting Room] This ability may be activated up to once per turn. When this attacks, if "Emotion First Felt Since Birth" is in the Climax Zone and there are 5 or more cards in your Stock, you may pay cost. If so, Stand this.
Kuroyukihime~~|}AW/S18-002SP~~|}SP~~|}Yellow~~|}Schwarz Character~~|}3~~|}2~~|}10000~~|}2~~|}生徒会 (Student Council)~~|}アバター (Avatar)~~|}Soul~~|}SECRET~~|}[A] When this is placed from hand to the Stage or via CHANGE to the Stage, you may put the top card of your Clock in the Waiting Room.  [A] [Put all cards, excluding the bottom-most card, from your Stock in Waiting Room] This ability may be activated up to once per turn. When this attacks, if "Emotion First Felt Since Birth" is in the Climax Zone and there are 5 or more cards in your Stock, you may pay cost. If so, Stand this.
"Beautiful Girl" Kuroyukihime~~|}AW/S18-003~~|}R~~|}Yellow~~|}Schwarz Character~~|}0~~|}0~~|}2000~~|}1~~|}生徒会 (Student Council)~~|}ネット (Net)~~|}None~~|}I bought this yesterday. The color is a little different compared to the sample, though~~|}[C] If you have 1 or fewer other Characters, this gains +1500 Power.  [A] When this attacks, choose 1 of your other Level 2 or higher Characters. That Character gains +1000 Power for the turn.
"Beautiful Girl" Kuroyukihime~~|}AW/S18-003S~~|}SR~~|}Yellow~~|}Schwarz Character~~|}0~~|}0~~|}2000~~|}1~~|}生徒会 (Student Council)~~|}ネット (Net)~~|}None~~|}SECRET~~|}[C] If you have 1 or fewer other Characters, this gains +1500 Power.  [A] When this attacks, choose 1 of your other Level 2 or higher Characters. That Character gains +1000 Power for the turn.
Kuroyukihime, Intimate Relations~~|}AW/S18-004~~|}R~~|}Yellow~~|}Schwarz Character~~|}0~~|}0~~|}500~~|}1~~|}生徒会 (Student Council)~~|}ネット (Net)~~|}None~~|}Let's have a Direct Wired Conversation about that~~|}[A] BOND/"Haruyuki, Bullied Kid" [(1)]  [S] [Put the top card of your Library in Clock, put a "Haruyuki, Bullied Kid" from your Stage in Waiting Room] Choose up to 1 "Silver Crow, Challenging Strong Enemies" in your hand and put it in any Slot on the Stage.
Kuroyukihime, Intimate Relations~~|}AW/S18-004S~~|}SR~~|}Yellow~~|}Schwarz Character~~|}0~~|}0~~|}500~~|}1~~|}生徒会 (Student Council)~~|}ネット (Net)~~|}None~~|}SECRET~~|}[A] BOND/"Haruyuki, Bullied Kid" [(1)]  [S] [Put the top card of your Library in Clock, put a "Haruyuki, Bullied Kid" from your Stage in Waiting Room] Choose up to 1 "Silver Crow, Challenging Strong Enemies" in your hand and put it in any Slot on the Stage.
Kuroyukihime, The Goal Chased After~~|}AW/S18-005~~|}R~~|}Yellow~~|}Schwarz Character~~|}1~~|}0~~|}4500~~|}1~~|}生徒会 (Student Council)~~|}アバター (Avatar)~~|}None~~|}The time has come... for me to leave my cocoon and aim for the sky~~|}[C] If this is in the Front Row Center Slot, this gains +1000 Power.  [S] [Rest 2 of your Characters] Choose 1 of your Characters. That Character gains +2000 Power and "[A] When the Battle Opponent of this becomes Reversed, put that Character in Stock" for the turn.
Kuroyukihime, The Goal Chased After~~|}AW/S18-005S~~|}SR~~|}Yellow~~|}Schwarz Character~~|}1~~|}0~~|}4500~~|}1~~|}生徒会 (Student Council)~~|}アバター (Avatar)~~|}None~~|}SECRET~~|}[C] If this is in the Front Row Center Slot, this gains +1000 Power.  [S] [Rest 2 of your Characters] Choose 1 of your Characters. That Character gains +2000 Power and "[A] When the Battle Opponent of this becomes Reversed, put that Character in Stock" for the turn.
Kuroyukihime, Maiden in Love~~|}AW/S18-006~~|}R~~|}Yellow~~|}Schwarz Character~~|}1~~|}1~~|}2500~~|}1~~|}生徒会 (Student Council)~~|}アバター (Avatar)~~|}Soul~~|}It's the first time that a week felt this long~~|}[C] All your other Characters with ::Avatar:: and/or ::Student Council:: gain +500 Power.  [A] When your Character's Trigger Check reveals a Climax card, choose 1 of your Characters. That Character gains +2000 Power for the turn.
Kuroyukihime, Maiden in Love~~|}AW/S18-006R~~|}RRR~~|}Yellow~~|}Schwarz Character~~|}1~~|}1~~|}2500~~|}1~~|}生徒会 (Student Council)~~|}アバター (Avatar)~~|}Soul~~|}SECRET~~|}[C] All your other Characters with ::Avatar:: and/or ::Student Council:: gain +500 Power.  [A] When your Character's Trigger Check reveals a Climax card, choose 1 of your Characters. That Character gains +2000 Power for the turn.
Silver Crow, Challenging Strong Enemies~~|}AW/S18-007~~|}R~~|}Yellow~~|}Schwarz Character~~|}2~~|}1~~|}8000~~|}1~~|}アバター (Avatar)~~|}None~~|}Soul~~|}Oh... oooo!~~|}[A] ACCELERATE [Put the top card of your Library in Clock] At the start of your Climax Phase, you may pay cost. If so, this gains +2500 Power and +1 Soul for the turn.
Kuroyukihime, Pure Possessiveness~~|}AW/S18-008~~|}R~~|}Yellow~~|}Schwarz Character~~|}2~~|}2~~|}7500~~|}2~~|}生徒会 (Student Council)~~|}アバター (Avatar)~~|}Soul~~|}You are mine...~~|}[A] [Return 2 Characters from your Waiting Room to your Library. Shuffle that Library] When this attacks, you may pay cost. If so, this gains +1 Soul for the turn.  [A] ENCORE [Discard a Character card from your hand to the Waiting Room]
Kuroyukihime, Pure Possessiveness~~|}AW/S18-008S~~|}SR~~|}Yellow~~|}Schwarz Character~~|}2~~|}2~~|}7500~~|}2~~|}生徒会 (Student Council)~~|}アバター (Avatar)~~|}Soul~~|}SECRET~~|}[A] [Return 2 Characters from your Waiting Room to your Library. Shuffle that Library] When this attacks, you may pay cost. If so, this gains +1 Soul for the turn.  [A] ENCORE [Discard a Character card from your hand to the Waiting Room]
Black Lotus~~|}AW/S18-009~~|}R~~|}Yellow~~|}Schwarz Character~~|}3~~|}2~~|}10000~~|}2~~|}アバター (Avatar)~~|}武器 (Weapon)~~|}Soul~~|}By aiming just for strength and speed, I have defeated countless enemies, and stained my hands with even blood of my friends~~|}[A] When this is placed from hand to the Stage or via CHANGE to the Stage, draw up to 2 cards, and discard a card from your hand to the Waiting Room.  [A] ACCELERATE [Put the top card of your Library in Clock] At the start of your Climax Phase, you may pay cost. If so, choose an Opponent's Character whose Level is 3 or lower and return it to the hand.
Black Lotus~~|}AW/S18-009R~~|}RRR~~|}Yellow~~|}Schwarz Character~~|}3~~|}2~~|}10000~~|}2~~|}アバター (Avatar)~~|}武器 (Weapon)~~|}Soul~~|}SECRET~~|}[A] When this is placed from hand to the Stage or via CHANGE to the Stage, draw up to 2 cards, and discard a card from your hand to the Waiting Room.  [A] ACCELERATE [Put the top card of your Library in Clock] At the start of your Climax Phase, you may pay cost. If so, choose an Opponent's Character whose Level is 3 or lower and return it to the hand.
Black Lotus, Encountering Nearby Duels~~|}AW/S18-010~~|}U~~|}Yellow~~|}Schwarz Character~~|}0~~|}0~~|}2000~~|}1~~|}アバター (Avatar)~~|}武器 (Weapon)~~|}None~~|}... This is interesting~~|}[A] [(1) Discard a card from your hand to the Waiting Room] When this is placed from hand to the Stage, you may pay cost. If so, search your Library for up to 1 Character with either ::Avatar:: and/or ::Net::, reveal it, and put it in your hand. Shuffle your Library.
Silver Crow, Rookie Burst Linker~~|}AW/S18-011~~|}U~~|}Yellow~~|}Schwarz Character~~|}0~~|}0~~|}2000~~|}1~~|}アバター (Avatar)~~|}None~~|}None~~|}I am a big idiot!~~|}[A] When this attacks, all your Characters gain +500 Power for the turn.
'Black King' Black Lotus~~|}AW/S18-012~~|}U~~|}Yellow~~|}Schwarz Character~~|}1~~|}0~~|}5000~~|}1~~|}アバター (Avatar)~~|}武器 (Weapon)~~|}None~~|}My name is 'Black Lotus'!! I resist the rule of tyrant!!~~|}[A] When "Death by Piercing" is placed in the Climax Zone, if this is in the Front Row, search your Library for up to 1 "Kuroyukihime, Real Strength", reveal it, and put it in your hand. Shuffle your Library.
